Date,Open,High,Low,Close,Volume,asset,ticker,daily_return,log_return,volatility_20d,ma_20,ma_50,signal,position,strategy_return_before_cost,turnover,spread_cost_rate,transaction_cost,slippage_cost,total_cost,strategy_return_after_cost,cumulative_return_before_cost,cumulative_return_after_cost,equity_curve_after_cost,running_peak_after_cost,drawdown_after_cost
2021-03-11,0.7731398940086365,0.7784196734428406,0.7724398970603943,0.773200273513794,0,AUDUSD,AUDUSD=X,0.0018355964221006271,0.0018339137737823682,0.00751134632744549,0.778837850689888,0.7739994251728057,1,0.0,0.0,0.0,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-03-12,0.7785099744796753,0.7800999283790588,0.7726697325706482,0.7787615656852722,0,AUDUSD,AUDUSD=X,0.007192563637109295,0.007166820516921197,0.007639476971552214,0.7790059298276901,0.7741687095165253,1,1.0,0.007192563637109295,1.0,7e-05,7e-05,0.0007639476971552214,0.0008339476971552214,0.0063586159399540735,0.007192563637109295,0.006358615939954015,1.006358615939954,1.006358615939954,0.0
2021-03-15,0.7763372659683228,0.777600109577179,0.7706772685050964,0.7762998938560486,0,AUDUSD,AUDUSD=X,-0.003161008372386087,-0.003166014912612156,0.00767206129617472,0.7790004462003708,0.7742701065540314,1,1.0,-0.003161008372386087,0.0,7e-05,0.0,0.0,0.0,-0.003161008372386087,0.004008819510847417,0.0031775079293450137,1.003177507929345,1.006358615939954,-0.003161008372385976
2021-03-16,0.774999737739563,0.7757000923156738,0.7713502049446106,0.7750135660171509,0,AUDUSD,AUDUSD=X,-0.0016569986020585903,-0.001658372942638971,0.007650822818347418,0.778820139169693,0.7744283783435821,1,1.0,-0.0016569986020585903,0.0,7e-05,0.0,0.0,0.0,-0.0016569986020585903,0.0023451783004635463,0.001515244201089505,1.0015152442010895,1.006358615939954,-0.004812769187990451
2021-03-17,0.7746593356132507,0.774713397026062,0.7706202268600464,0.77455735206604,0,AUDUSD,AUDUSD=X,-0.0005886528586271922,-0.0005888261827430056,0.007521049727756505,0.7788584977388382,0.7743875241279602,1,1.0,-0.0005886528586271922,0.0,7e-05,0.0,0.0,0.0,-0.0005886528586271922,0.0017551449459258794,0.0009256993896318289,1.0009256993896318,1.006358615939954,-0.005398588996277209
2021-03-18,0.781109631061554,0.7848998308181763,0.776249885559082,0.7813000679016113,0,AUDUSD,AUDUSD=X,0.008705250576456214,0.008667578355534658,0.0077479551348018875,0.7791300117969513,0.7743795239925384,1,1.0,0.008705250576456214,0.0,7e-05,0.0,0.0,0.0,0.008705250576456214,0.010475674498934273,0.009639008411233219,1.0096390084112332,1.0096390084112332,0.0
2021-03-19,0.7752598524093628,0.7770997881889343,0.7718801498413086,0.7753699421882629,0,AUDUSD,AUDUSD=X,-0.007590074488634468,-0.007619025691566134,0.00794563152998405,0.7790585190057755,0.7743489229679108,1,1.0,-0.007590074488634468,0.0,7e-05,0.0,0.0,0.0,-0.007590074488634468,0.0028060888605341283,0.001975773130760805,1.0019757731307608,1.0096390084112332,-0.0075900744886345795
2021-03-22,0.7723498940467834,0.7754997611045837,0.7705299854278564,0.7722502946853638,0,AUDUSD,AUDUSD=X,-0.004023431052917581,-0.004031546827791291,0.00708451029941648,0.7782285928726196,0.7743608772754669,1,1.0,-0.004023431052917581,0.0,7e-05,0.0,0.0,0.0,-0.004023431052917581,-0.0012286322974421893,-0.002055607309124574,0.9979443926908754,1.0096390084112332,-0.011582967400160626
2021-03-23,0.77455735206604,0.774713397026062,0.7655701637268066,0.7745501399040222,0,AUDUSD,AUDUSD=X,0.0029781085672431207,0.0029736827867166567,0.007070828931237834,0.7773790985345841,0.7744368851184845,1,1.0,0.0029781085672431207,0.0,7e-05,0.0,0.0,0.0,0.0029781085672431207,0.0017458172694300167,0.0009163794363804545,1.0009163794363805,1.0096390084112332,-0.008639354167365942
2021-03-24,0.7609018683433533,0.7630000114440918,0.7584398984909058,0.7604701519012451,0,AUDUSD,AUDUSD=X,-0.0181782783029667,-0.018345533242532543,0.00803889718936355,0.7758584707975388,0.7740941882133484,1,1.0,-0.0181782783029667,0.0,7e-05,0.0,0.0,0.0,-0.0181782783029667,-0.016464196985726542,-0.017278557067011868,0.9827214429329881,1.0096390084112332,-0.026660583885920297
