Date,asset,Close,daily_return,position,turnover,strategy_return_before_cost,strategy_return_after_cost,transaction_cost,slippage_cost,total_cost,cumulative_return_before_cost,cumulative_return_after_cost,equity_curve_after_cost,drawdown_after_cost,volatility_20d
2021-03-11,AUDUSD,0.773200273513794,0.0018355964221006271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00751134632744549
2021-03-12,AUDUSD,0.7787615656852722,0.007192563637109295,1.0,1.0,0.007192563637109295,0.0063586159399540735,7e-05,0.0007639476971552214,0.0008339476971552214,0.007192563637109295,0.006358615939954015,1.006358615939954,0.0,0.007639476971552214
2021-03-15,AUDUSD,0.7762998938560486,-0.003161008372386087,1.0,0.0,-0.003161008372386087,-0.003161008372386087,0.0,0.0,0.0,0.004008819510847417,0.0031775079293450137,1.003177507929345,-0.003161008372385976,0.00767206129617472
2021-03-16,AUDUSD,0.7750135660171509,-0.0016569986020585903,1.0,0.0,-0.0016569986020585903,-0.0016569986020585903,0.0,0.0,0.0,0.0023451783004635463,0.001515244201089505,1.0015152442010895,-0.004812769187990451,0.007650822818347418
2021-03-17,AUDUSD,0.77455735206604,-0.0005886528586271922,1.0,0.0,-0.0005886528586271922,-0.0005886528586271922,0.0,0.0,0.0,0.0017551449459258794,0.0009256993896318289,1.0009256993896318,-0.005398588996277209,0.007521049727756505
2021-03-18,AUDUSD,0.7813000679016113,0.008705250576456214,1.0,0.0,0.008705250576456214,0.008705250576456214,0.0,0.0,0.0,0.010475674498934273,0.009639008411233219,1.0096390084112332,0.0,0.0077479551348018875
2021-03-19,AUDUSD,0.7753699421882629,-0.007590074488634468,1.0,0.0,-0.007590074488634468,-0.007590074488634468,0.0,0.0,0.0,0.0028060888605341283,0.001975773130760805,1.0019757731307608,-0.0075900744886345795,0.00794563152998405
2021-03-22,AUDUSD,0.7722502946853638,-0.004023431052917581,1.0,0.0,-0.004023431052917581,-0.004023431052917581,0.0,0.0,0.0,-0.0012286322974421893,-0.002055607309124574,0.9979443926908754,-0.011582967400160626,0.00708451029941648
2021-03-23,AUDUSD,0.7745501399040222,0.0029781085672431207,1.0,0.0,0.0029781085672431207,0.0029781085672431207,0.0,0.0,0.0,0.0017458172694300167,0.0009163794363804545,1.0009163794363805,-0.008639354167365942,0.007070828931237834
2021-03-24,AUDUSD,0.7604701519012451,-0.0181782783029667,1.0,0.0,-0.0181782783029667,-0.0181782783029667,0.0,0.0,0.0,-0.016464196985726542,-0.017278557067011868,0.9827214429329881,-0.026660583885920297,0.00803889718936355
2021-03-25,AUDUSD,0.7591003179550171,-0.001801298766037407,1.0,0.0,-0.001801298766037407,-0.001801298766037407,0.0,0.0,0.0,-0.018235838814049776,-0.019048731989525614,0.9809512680104744,-0.02841385897510218,0.0076471916563561095
2021-03-26,AUDUSD,0.7594000697135925,0.00039487766173373906,1.0,0.0,0.00039487766173373906,0.00039487766173373906,0.0,0.0,0.0,-0.017848162077706675,-0.018661376246538852,0.9813386237534611,-0.02803020131156142,0.007216106892876274
2021-03-29,AUDUSD,0.7637377381324768,0.005711967369874227,0.0,1.0,0.0,-0.0007388926686400516,7e-05,0.0006688926686400517,0.0007388926686400516,-0.017848162077706675,-0.019386480161083575,0.9806135198389164,-0.028748382669951722,0.006688926686400516
